SDRs per Currency unit and Currency units per SDR (1)
last five days
SDRs per Currency unit (2)

Currency	April 27, 2021	April 26, 2021	April 23, 2021	April 22, 2021	April 21, 2021
Chinese yuan		0.1072660000	0.1072800000	0.1074340000	0.1073980000
Euro		0.8409460000	0.8406720000	0.8394660000	0.8376640000
Japanese yen		0.0064503100	0.0064571600	0.0064508400	0.0064555000
U.K. pound		0.9673140000	0.9676860000	0.9686690000	0.9721350000
U.S. dollar		0.6958590000	0.6967280000	0.6968840000	0.6976460000
Algerian dinar		0.0052143100	0.0052163500	0.0052416900	0.0052549500
Australian dollar			0.5387800000	0.5397370000	0.5382340000
Botswana pula		0.0644365000	0.0643080000	0.0644618000	0.0644625000
Brazilian real		0.1275400000	0.1271840000	0.1267890000	
Brunei dollar		0.5250970000	0.5241710000	0.5249600000	0.5248220000
Canadian dollar		0.5606340000	0.5578730000	0.5575070000	0.5570920000
Chilean peso		0.0009765890	0.0009876920	0.0010001200	0.0010006500
Colombian peso		0.0001911660	0.0001918930	0.0001914980	0.0001918580
Czech koruna		0.0325883000	0.0325255000	0.0324600000	0.0323538000
Danish krone		0.1130890000	0.1130520000	0.1128830000	0.1126430000
Indian rupee		0.0093070100	0.0093003200	0.0092991800	
Israeli New Shekel		0.2147710000	0.2140490000	0.2136370000	0.2142650000
Korean won		0.0006219130	0.0006241400	0.0006236660	0.0006265910
Kuwaiti dinar		2.3118200000		2.3144600000	2.3169900000
Malaysian ringgit		0.1695770000	0.1694580000	0.1695580000	0.1694960000
Mauritian rupee		0.0171625000	0.0171488000	0.0171609000	0.0171767000
Mexican peso		0.0350803000	0.0350652000	0.0350431000	0.0351035000
New Zealand dollar			0.4996930000	0.5023840000	0.5005610000
Norwegian krone		0.0837950000	0.0837071000	0.0835502000	0.0834136000
Omani rial				1.8124400000	1.8144200000
Peruvian sol		0.1820190000	0.1848580000	0.1856870000	0.1887060000
Philippine peso		0.0143823000	0.0143946000		0.0144434000
Polish zloty		0.1847890000	0.1840520000	0.1839470000	0.1838330000
Qatari riyal		0.1911700000		0.1914520000	0.1916610000
Russian ruble		0.0093069100	0.0092786600	0.0091189300	0.0090815900
Saudi Arabian riyal				0.1858360000	0.1860390000
Singapore dollar		0.5250970000	0.5241710000	0.5249600000	0.5248220000
South African rand		0.0487522000	0.0488471000	0.0488363000	0.0488337000
Swedish krona		0.0831184000	0.0828787000	0.0829742000	0.0826056000
Swiss franc		0.7609170000	0.7614510000	0.7615390000	0.7599630000
Thai baht		0.0221336000	0.0221867000	0.0222476000	0.0222805000
Trinidadian dollar		0.1027050000	0.1029720000		0.1032490000
U.A.E. dirham		0.1894780000		0.1897570000	0.1899650000
Uruguayan peso		0.0157949000	0.0158128000	0.0158092000	0.0157910000

Currency units per SDR(3)

Currency	April 27, 2021	April 26, 2021	April 23, 2021	April 22, 2021	April 21, 2021
Chinese yuan		9.322620	9.321400	9.308040	9.311160
Euro		1.189140	1.189520	1.191230	1.193800
Japanese yen		155.031000	154.867000	155.019000	154.907000
U.K. pound		1.033790	1.033390	1.032340	1.028660
U.S. dollar		1.437070	1.435280	1.434960	1.433390
Algerian dinar		191.780000	191.705000	190.778000	190.297000
Australian dollar			1.856050	1.852750	1.857930
Botswana pula		15.519200	15.550200	15.513100	15.512900
Brazilian real		7.840680	7.862620	7.887120	
Brunei dollar		1.904410	1.907770	1.904910	1.905410
Canadian dollar		1.783690	1.792520	1.793700	1.795040
Chilean peso		1,023.970000	1,012.460000	999.880000	999.350000
Colombian peso		5,231.060000	5,211.240000	5,221.990000	5,212.190000
Czech koruna		30.685900	30.745100	30.807100	30.908300
Danish krone		8.842590	8.845490	8.858730	8.877600
Indian rupee		107.446000	107.523000	107.536000	
Israeli New Shekel		4.656120	4.671830	4.680840	4.667120
Korean won		1,607.940000	1,602.200000	1,603.420000	1,595.940000
Kuwaiti dinar		0.432560		0.432066	0.431594
Malaysian ringgit		5.897030	5.901170	5.897690	5.899840
Mauritian rupee		58.266600	58.313100	58.272000	58.218400
Mexican peso		28.506000	28.518300	28.536300	28.487200
New Zealand dollar			2.001230	1.990510	1.997760
Norwegian krone		11.933900	11.946400	11.968900	11.988500
Omani rial				0.551742	0.551140
Peruvian sol		5.493930	5.409560	5.385410	5.299250
Philippine peso		69.529900	69.470500		69.235800
Polish zloty		5.411580	5.433250	5.436350	5.439720
Qatari riyal		5.230950		5.223240	5.217550
Russian ruble		107.447000	107.774000	109.662000	110.113000
Saudi Arabian riyal				5.381090	5.375220
Singapore dollar		1.904410	1.907770	1.904910	1.905410
South African rand		20.511900	20.472000	20.476600	20.477700
Swedish krona		12.031000	12.065800	12.051900	12.105700
Swiss franc		1.314200	1.313280	1.313130	1.315850
Thai baht		45.180200	45.072000	44.948700	44.882300
Trinidadian dollar		9.736620	9.711380		9.685320
U.A.E. dirham		5.277660		5.269900	5.264130
Uruguayan peso		63.311600	63.239900	63.254300	63.327200


(1) Exchange rates are published daily except on IMF holidays or whenever the IMF is closed for business.

(2) The value of the U.S. dollar in terms of the SDR is the reciprocal of the sum of the dollar values, based on market exchange rates, of specified quantities of the SDR basket currencies. See SDR Valuation.The value in terms of the SDR of each of the other currencies shown above is derived from that currency's representative exchange rate against the U.S. dollar as reported by the issuing central bank and the SDR value of the U.S. dollar, except for the Iranian rial and the Libyan dinar, the values of which are officially expressed directly in terms of domestic currency units per SDR. All figures are rounded to six significant digits. See Representative Exchange Rates for Selected Currencies".

(3) The value in terms of each national currency of the SDR is the reciprocal of the value in terms of the SDR of each national currency, rounded to six significant digits.
